year,company,cik,form_type,date_filed,url,document_url
2021,IDEX CORP /DE/,832101,10-K,2021-02-25,https://www.sec.gov/Archives/edgar/data/832101/0000832101-21-000017.txt,https://www.sec.gov/Archives/edgar/data/832101/000083210121000017/iex-20201231.htm
2021,IDEXX LABORATORIES INC /DE,874716,10-K,2021-02-12,https://www.sec.gov/Archives/edgar/data/874716/0000874716-21-000008.txt,https://www.sec.gov/Archives/edgar/data/874716/000087471621000008/idxx-20201231.htm
2021,IHS Markit Ltd.,1598014,10-K,2021-01-22,https://www.sec.gov/Archives/edgar/data/1598014/0001598014-21-000015.txt,https://www.sec.gov/Archives/edgar/data/1598014/000159801421000015/info-20201130.htm
2021,ILLINOIS TOOL WORKS INC,49826,10-K,2021-02-12,https://www.sec.gov/Archives/edgar/data/49826/0000049826-21-000007.txt,https://www.sec.gov/Archives/edgar/data/49826/000004982621000007/itw-20201231.htm
2021,"ILLUMINA, INC.",1110803,10-K,2021-02-17,https://www.sec.gov/Archives/edgar/data/1110803/0001110803-21-000015.txt,https://www.sec.gov/Archives/edgar/data/1110803/000111080321000015/ilmn-20210103.htm
2021,INCYTE CORP,879169,10-K,2021-02-09,https://www.sec.gov/Archives/edgar/data/879169/0001558370-21-000825.txt,https://www.sec.gov/Archives/edgar/data/879169/000155837021000825/incy-20201231x10k.htm
2021,INSULET CORP,1145197,10-K,2021-02-24,https://www.sec.gov/Archives/edgar/data/1145197/0001145197-21-000009.txt,https://www.sec.gov/Archives/edgar/data/1145197/000114519721000009/podd-20201231.htm
2021,INTEL CORP,50863,10-K,2021-01-22,https://www.sec.gov/Archives/edgar/data/50863/0000050863-21-000010.txt,https://www.sec.gov/Archives/edgar/data/50863/000005086321000010/intc-20201226.htm
2021,INTERNATIONAL BUSINESS MACHINES CORP,51143,10-K,2021-02-23,https://www.sec.gov/Archives/edgar/data/51143/0001558370-21-001489.txt,https://www.sec.gov/Archives/edgar/data/51143/000155837021001489/ibm-20201231x10k.htm
2021,INTERNATIONAL FLAVORS & FRAGRANCES INC,51253,10-K,2021-02-22,https://www.sec.gov/Archives/edgar/data/51253/0000051253-21-000011.txt,https://www.sec.gov/Archives/edgar/data/51253/000005125321000011/iff-20201231.htm
2021,INTERNATIONAL PAPER CO /NEW/,51434,10-K,2021-02-19,https://www.sec.gov/Archives/edgar/data/51434/0000051434-21-000012.txt,https://www.sec.gov/Archives/edgar/data/51434/000005143421000012/ip-20201231.htm
2021,"INTERPUBLIC GROUP OF COMPANIES, INC.",51644,10-K,2021-02-22,https://www.sec.gov/Archives/edgar/data/51644/0000051644-21-000012.txt,https://www.sec.gov/Archives/edgar/data/51644/000005164421000012/ipg-20201231.htm
2021,INTUITIVE SURGICAL INC,1035267,10-K,2021-02-10,https://www.sec.gov/Archives/edgar/data/1035267/0001035267-21-000028.txt,https://www.sec.gov/Archives/edgar/data/1035267/000103526721000028/isrg-20201231.htm
2021,IPG PHOTONICS CORP,1111928,10-K,2021-02-22,https://www.sec.gov/Archives/edgar/data/1111928/0001111928-21-000026.txt,https://www.sec.gov/Archives/edgar/data/1111928/000111192821000026/ipgp-20201231.htm
2021,IQVIA HOLDINGS INC.,1478242,10-K,2021-02-12,https://www.sec.gov/Archives/edgar/data/1478242/0001478242-21-000020.txt,https://www.sec.gov/Archives/edgar/data/1478242/000147824221000020/iqv-20201231.htm
2021,IRON MOUNTAIN INC,1020569,10-K,2021-02-24,https://www.sec.gov/Archives/edgar/data/1020569/0001020569-21-000067.txt,https://www.sec.gov/Archives/edgar/data/1020569/000102056921000067/irm-20201231.htm
2021,Ingersoll Rand Inc.,1699150,10-K,2021-02-26,https://www.sec.gov/Archives/edgar/data/1699150/0001628280-21-003454.txt,https://www.sec.gov/Archives/edgar/data/1699150/000162828021003454/gdi-20201231.htm
2021,JOHNSON & JOHNSON,200406,10-K,2021-02-22,https://www.sec.gov/Archives/edgar/data/200406/0000200406-21-000008.txt,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/jnj-20210103.htm
2021,JUNIPER NETWORKS INC,1043604,10-K,2021-02-12,https://www.sec.gov/Archives/edgar/data/1043604/0001043604-21-000013.txt,https://www.sec.gov/Archives/edgar/data/1043604/000104360421000013/jnpr-20201231.htm
2021,KANSAS CITY SOUTHERN,54480,10-K,2021-01-29,https://www.sec.gov/Archives/edgar/data/54480/0000054480-21-000021.txt,https://www.sec.gov/Archives/edgar/data/54480/000005448021000021/ksu-20201231.htm
2021,KELLOGG CO,55067,10-K,2021-02-22,https://www.sec.gov/Archives/edgar/data/55067/0001628280-21-002660.txt,https://www.sec.gov/Archives/edgar/data/55067/000162828021002660/k-20210102.htm
2021,KIMBERLY CLARK CORP,55785,10-K,2021-02-11,https://www.sec.gov/Archives/edgar/data/55785/0000055785-21-000016.txt,https://www.sec.gov/Archives/edgar/data/55785/000005578521000016/kmb-20201231.htm
2021,KIMCO REALTY CORP,879101,10-K,2021-02-23,https://www.sec.gov/Archives/edgar/data/879101/0001437749-21-003766.txt,https://www.sec.gov/Archives/edgar/data/879101/000143774921003766/kim20201231_10k.htm
2021,"KINDER MORGAN, INC.",1506307,10-K,2021-02-05,https://www.sec.gov/Archives/edgar/data/1506307/0001506307-21-000022.txt,https://www.sec.gov/Archives/edgar/data/1506307/000150630721000022/kmi-20201231.htm
2021,KOHLS Corp,885639,10-K,2021-03-18,https://www.sec.gov/Archives/edgar/data/885639/0001564590-21-014145.txt,https://www.sec.gov/Archives/edgar/data/885639/000156459021014145/kss-10k_20210130.htm
2021,KROGER CO,56873,10-K,2021-03-30,https://www.sec.gov/Archives/edgar/data/56873/0001558370-21-003706.txt,https://www.sec.gov/Archives/edgar/data/56873/000155837021003706/kr-20210130x10k.htm
2021,Kraft Heinz Co,1637459,10-K,2021-02-17,https://www.sec.gov/Archives/edgar/data/1637459/0001637459-21-000009.txt,https://www.sec.gov/Archives/edgar/data/1637459/000163745921000009/khc-20201226.htm
2021,"L Brands, Inc.",701985,10-K,2021-03-19,https://www.sec.gov/Archives/edgar/data/701985/0000701985-21-000011.txt,https://www.sec.gov/Archives/edgar/data/701985/000070198521000011/lb-20210130.htm
2021,"L3HARRIS TECHNOLOGIES, INC. /DE/",202058,10-K,2021-03-01,https://www.sec.gov/Archives/edgar/data/202058/0000202058-21-000008.txt,https://www.sec.gov/Archives/edgar/data/202058/000020205821000008/hrs-20210101.htm
2021,LABORATORY CORP OF AMERICA HOLDINGS,920148,10-K,2021-02-25,https://www.sec.gov/Archives/edgar/data/920148/0000920148-21-000018.txt,https://www.sec.gov/Archives/edgar/data/920148/000092014821000018/lh-20201231.htm
2021,LAS VEGAS SANDS CORP,1300514,10-K,2021-02-05,https://www.sec.gov/Archives/edgar/data/1300514/0001300514-21-000033.txt,https://www.sec.gov/Archives/edgar/data/1300514/000130051421000033/lvs-20201231.htm
2021,LEGGETT & PLATT INC,58492,10-K,2021-02-24,https://www.sec.gov/Archives/edgar/data/58492/0000058492-21-000005.txt,https://www.sec.gov/Archives/edgar/data/58492/000005849221000005/leg-20201231.htm
2021,LENNAR CORP /NEW/,920760,10-K,2021-01-22,https://www.sec.gov/Archives/edgar/data/920760/0001628280-21-000722.txt,https://www.sec.gov/Archives/edgar/data/920760/000162828021000722/len-20201130.htm
2021,LINCOLN NATIONAL CORP,59558,10-K,2021-02-18,https://www.sec.gov/Archives/edgar/data/59558/0000059558-21-000011.txt,https://www.sec.gov/Archives/edgar/data/59558/000005955821000011/lnc-20201231x10k.htm
2021,LINDE PLC,1707925,10-K,2021-03-01,https://www.sec.gov/Archives/edgar/data/1707925/0001628280-21-003574.txt,https://www.sec.gov/Archives/edgar/data/1707925/000162828021003574/lin-20201231.htm
2021,LKQ CORP,1065696,10-K,2021-02-26,https://www.sec.gov/Archives/edgar/data/1065696/0001065696-21-000010.txt,https://www.sec.gov/Archives/edgar/data/1065696/000106569621000010/lkq-20201231.htm
2021,LOCKHEED MARTIN CORP,936468,10-K,2021-01-28,https://www.sec.gov/Archives/edgar/data/936468/0000936468-21-000013.txt,https://www.sec.gov/Archives/edgar/data/936468/000093646821000013/lmt-20201231.htm
2021,LOWES COMPANIES INC,60667,10-K,2021-03-22,https://www.sec.gov/Archives/edgar/data/60667/0000060667-21-000026.txt,https://www.sec.gov/Archives/edgar/data/60667/000006066721000026/low-20210129.htm
2021,"Leidos Holdings, Inc.",1336920,10-K,2021-02-23,https://www.sec.gov/Archives/edgar/data/1336920/0001336920-21-000010.txt,https://www.sec.gov/Archives/edgar/data/1336920/000133692021000010/ldos-20210101.htm
2021,"Live Nation Entertainment, Inc.",1335258,10-K,2021-03-01,https://www.sec.gov/Archives/edgar/data/1335258/0001335258-21-000009.txt,https://www.sec.gov/Archives/edgar/data/1335258/000133525821000009/lyv-20201231.htm
2021,"Lumen Technologies, Inc.",18926,10-K,2021-02-25,https://www.sec.gov/Archives/edgar/data/18926/0000018926-21-000017.txt,https://www.sec.gov/Archives/edgar/data/18926/000001892621000017/ctl-20201231.htm
2021,LyondellBasell Industries N.V.,1489393,10-K,2021-02-25,https://www.sec.gov/Archives/edgar/data/1489393/0001489393-21-000007.txt,https://www.sec.gov/Archives/edgar/data/1489393/000148939321000007/lyb-20201231.htm
2021,MARATHON OIL CORP,101778,10-K,2021-02-23,https://www.sec.gov/Archives/edgar/data/101778/0000101778-21-000018.txt,https://www.sec.gov/Archives/edgar/data/101778/000010177821000018/mro-20201231.htm
2021,MARRIOTT INTERNATIONAL INC /MD/,1048286,10-K,2021-02-18,https://www.sec.gov/Archives/edgar/data/1048286/0001628280-21-002433.txt,https://www.sec.gov/Archives/edgar/data/1048286/000162828021002433/mar-20201231.htm
2021,MARTIN MARIETTA MATERIALS INC,916076,10-K,2021-02-19,https://www.sec.gov/Archives/edgar/data/916076/0001564590-21-006959.txt,https://www.sec.gov/Archives/edgar/data/916076/000156459021006959/mlm-10k_20201231.htm
2021,MASCO CORP /DE/,62996,10-K,2021-02-09,https://www.sec.gov/Archives/edgar/data/62996/0000062996-21-000008.txt,https://www.sec.gov/Archives/edgar/data/62996/000006299621000008/mas-20201231.htm
2021,MCCORMICK & CO INC,63754,10-K,2021-01-28,https://www.sec.gov/Archives/edgar/data/63754/0000063754-21-000020.txt,https://www.sec.gov/Archives/edgar/data/63754/000006375421000020/mkc-20201130.htm
2021,MCDONALDS CORP,63908,10-K,2021-02-23,https://www.sec.gov/Archives/edgar/data/63908/0000063908-21-000013.txt,https://www.sec.gov/Archives/edgar/data/63908/000006390821000013/mcd-20201231.htm
2021,METTLER TOLEDO INTERNATIONAL INC/,1037646,10-K,2021-02-08,https://www.sec.gov/Archives/edgar/data/1037646/0001037646-21-000008.txt,https://www.sec.gov/Archives/edgar/data/1037646/000103764621000008/mtd-20201231.htm
2021,MGM Resorts International,789570,10-K,2021-02-26,https://www.sec.gov/Archives/edgar/data/789570/0001564590-21-009205.txt,https://www.sec.gov/Archives/edgar/data/789570/000156459021009205/mgm-10k_20201231.htm
2021,MID AMERICA APARTMENT COMMUNITIES INC.,912595,10-K,2021-02-18,https://www.sec.gov/Archives/edgar/data/912595/0001564590-21-006666.txt,https://www.sec.gov/Archives/edgar/data/912595/000156459021006666/maa-10k_20201231.htm
2021,MOHAWK INDUSTRIES INC,851968,10-K,2021-02-24,https://www.sec.gov/Archives/edgar/data/851968/0000851968-21-000019.txt,https://www.sec.gov/Archives/edgar/data/851968/000085196821000019/mhk-20201231.htm
2021,MOLSON COORS BEVERAGE CO,24545,10-K,2021-02-11,https://www.sec.gov/Archives/edgar/data/24545/0000024545-21-000004.txt,https://www.sec.gov/Archives/edgar/data/24545/000002454521000004/tap-20201231.htm
2021,MOSAIC CO,1285785,10-K,2021-02-22,https://www.sec.gov/Archives/edgar/data/1285785/0001618034-21-000003.txt,https://www.sec.gov/Archives/edgar/data/1285785/000161803421000003/mos-20201231.htm
