year,company,cik,form_type,date_filed,url,document_url
2024,AMARIN CORP PLC\UK,897448,10-K,2024-02-29,https://www.sec.gov/Archives/edgar/data/897448/0000950170-24-022636.txt,https://www.sec.gov/Archives/edgar/data/897448/000095017024022636/amrn-20231231.htm
2024,AMAZON COM INC,1018724,10-K,2024-02-02,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-24-000008.txt,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm
2024,AMBAC FINANCIAL GROUP INC,874501,10-K,2024-02-27,https://www.sec.gov/Archives/edgar/data/874501/0000874501-24-000040.txt,https://www.sec.gov/Archives/edgar/data/874501/000087450124000040/ambc-20231231.htm
2024,AMBARELLA INC,1280263,10-K,2024-03-29,https://www.sec.gov/Archives/edgar/data/1280263/0000950170-24-038555.txt,https://www.sec.gov/Archives/edgar/data/1280263/000095017024038555/amba-20240131.htm
2024,"AMC ENTERTAINMENT HOLDINGS, INC.",1411579,10-K,2024-02-28,https://www.sec.gov/Archives/edgar/data/1411579/0001411579-24-000021.txt,https://www.sec.gov/Archives/edgar/data/1411579/000141157924000021/amc-20231231x10k.htm
2024,AMC Networks Inc.,1514991,10-K,2024-02-09,https://www.sec.gov/Archives/edgar/data/1514991/0001514991-24-000007.txt,https://www.sec.gov/Archives/edgar/data/1514991/000151499124000007/amcx-20231231.htm
2024,AMEDISYS INC,896262,10-K,2024-02-22,https://www.sec.gov/Archives/edgar/data/896262/0000896262-24-000014.txt,https://www.sec.gov/Archives/edgar/data/896262/000089626224000014/amed-20231231.htm
2024,AMEREN CORP,1002910,10-K,2024-02-29,https://www.sec.gov/Archives/edgar/data/1002910/0001002910-24-000056.txt,https://www.sec.gov/Archives/edgar/data/1002910/000100291024000056/aee-20231231.htm
2024,"AMERICAN AIRLINES, INC.",4515,10-K,2024-02-21,https://www.sec.gov/Archives/edgar/data/4515/0000006201-24-000010.txt,https://www.sec.gov/Archives/edgar/data/4515/000000620124000010/aal-20231231.htm
2024,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,1062231,10-K,2024-02-16,https://www.sec.gov/Archives/edgar/data/1062231/0001062231-24-000007.txt,https://www.sec.gov/Archives/edgar/data/1062231/000106223124000007/axl-20231231.htm
2024,AMERICAN COASTAL INSURANCE Corp,1401521,10-K,2024-03-15,https://www.sec.gov/Archives/edgar/data/1401521/0001401521-24-000024.txt,https://www.sec.gov/Archives/edgar/data/1401521/000140152124000024/uihc-20231231.htm
2024,AMERICAN EAGLE OUTFITTERS INC,919012,10-K,2024-03-15,https://www.sec.gov/Archives/edgar/data/919012/0000950170-24-032294.txt,https://www.sec.gov/Archives/edgar/data/919012/000095017024032294/aeo-20240203.htm
