Company;;ISIN;SIC Industry Name;SIC Industry Code;Update Date;ESG Score;;;;;;;;;;;;
Amazon.com, Inc.;AMZN.O;US0231351067;Catalog and Mail- Order houses;5961;31/12/2023;82,55628379;;;;;;;;;;;;
Amazon.com, Inc.;AMZN.O;NULL;NULL;NULL;31/12/2022;79,10350288;;;;;;;;;;;;
Amazon.com, Inc.;AMZN.O;NULL;NULL;NULL;31/12/2021;78,21376077;;;;;;;;;;;;
Amazon.com, Inc.;AMZN.O;NULL;NULL;NULL;31/12/2020;86,51904476;;;;;;;;;;;;
Amazon.com, Inc.;AMZN.O;NULL;NULL;NULL;31/12/2019;87,07674812;;;;;;;;;;;;
Amazon.com, Inc.;AMZN.O;NULL;NULL;NULL;31/12/2018;84,68647344;;;;;;;;;;;;
Amcor plc;AMCR.K;JE00BJ1F3079;NULL;1000;31/12/2023;67,90591554;;;;;;;;;;;;
Amcor plc;AMCR.K;NULL;NULL;NULL;31/12/2022;70,05856136;;;;;;;;;;;;
Amcor plc;AMCR.K;NULL;NULL;NULL;31/12/2021;68,8720527;;;;;;;;;;;;
Amcor plc;AMCR.K;NULL;NULL;NULL;31/12/2020;71,34637399;;;;;;;;;;;;
Amcor plc;AMCR.K;NULL;NULL;NULL;31/12/2019;71,01498054;;;;;;;;;;;;
Amcor plc;AMCR.K;NULL;NULL;NULL;31/12/2018;65,40372798;;;;;;;;;;;;
Ameren Corporation;AEE;US0236081024;Electric and Other Services Combined;4931;31/12/2023;50,18486838;;;;;;;;;;;;
Ameren Corporation;AEE;NULL;NULL;NULL;31/12/2022;44,89767157;;;;;;;;;;;;
Ameren Corporation;AEE;NULL;NULL;NULL;31/12/2021;44,78286581;;;;;;;;;;;;
Ameren Corporation;AEE;NULL;NULL;NULL;31/12/2020;40,98131424;;;;;;;;;;;;
Ameren Corporation;AEE;NULL;NULL;NULL;31/12/2019;44,99316978;;;;;;;;;;;;
Ameren Corporation;AEE;NULL;NULL;NULL;31/12/2018;45,67134516;;;;;;;;;;;;
American Airlines Group Inc.;AAL.O;US02376R1023;Air Transportation, Scheduled;4512;31/12/2023;70,93531793;;;;;;;;;;;;
American Airlines Group Inc.;AAL.O;NULL;NULL;NULL;31/12/2022;71,67351334;;;;;;;;;;;;
American Airlines Group Inc.;AAL.O;NULL;NULL;NULL;31/12/2021;61,66045223;;;;;;;;;;;;
American Airlines Group Inc.;AAL.O;NULL;NULL;NULL;31/12/2020;60,66647933;;;;;;;;;;;;
American Airlines Group Inc.;AAL.O;NULL;NULL;NULL;31/12/2019;67,85158839;;;;;;;;;;;;
American Airlines Group Inc.;AAL.O;NULL;NULL;NULL;31/12/2018;70,70275668;;;;;;;;;;;;
American Electric Power Company, Inc.;AEP.O;US0255371017;Electric Services;4911;31/12/2023;70,20340936;;;;;;;;;;;;
American Electric Power Company, Inc.;AEP.O;NULL;NULL;NULL;31/12/2022;76,50259761;;;;;;;;;;;;
American Electric Power Company, Inc.;AEP.O;NULL;NULL;NULL;31/12/2021;72,21924732;;;;;;;;;;;;
American Electric Power Company, Inc.;AEP.O;NULL;NULL;NULL;31/12/2020;72,53982937;;;;;;;;;;;;
American Electric Power Company, Inc.;AEP.O;NULL;NULL;NULL;31/12/2019;61,76876291;;;;;;;;;;;;
American Electric Power Company, Inc.;AEP.O;NULL;NULL;NULL;31/12/2018;66,8797294;;;;;;;;;;;;
American Tower Corporation;AMT;US03027X1000;Real Estate Investment Trusts;6798;31/12/2023;80,3021443;;;;;;;;;;;;
American Tower Corporation;AMT;NULL;NULL;NULL;31/12/2022;84,18029329;;;;;;;;;;;;
American Tower Corporation;AMT;NULL;NULL;NULL;31/12/2021;81,69428269;;;;;;;;;;;;
American Tower Corporation;AMT;NULL;NULL;NULL;31/12/2020;67,16022465;;;;;;;;;;;;
American Tower Corporation;AMT;NULL;NULL;NULL;31/12/2019;71,30380243;;;;;;;;;;;;
American Tower Corporation;AMT;NULL;NULL;NULL;31/12/2018;73,23367249;;;;;;;;;;;;
American Water Works Company, Inc.;AWK;US0304201033;Water Supply;4941;31/12/2023;72,32953705;;;;;;;;;;;;
American Water Works Company, Inc.;AWK;NULL;NULL;NULL;31/12/2022;80,42058106;;;;;;;;;;;;
American Water Works Company, Inc.;AWK;NULL;NULL;NULL;31/12/2021;79,54006348;;;;;;;;;;;;
American Water Works Company, Inc.;AWK;NULL;NULL;NULL;31/12/2020;81,53514219;;;;;;;;;;;;
American Water Works Company, Inc.;AWK;NULL;NULL;NULL;31/12/2019;71,36145054;;;;;;;;;;;;
American Water Works Company, Inc.;AWK;NULL;NULL;NULL;31/12/2018;66,40178678;;;;;;;;;;;;
AMETEK, Inc.;AME;US0311001004;"Industrial Instruments For Measurement, Display, and Control of Process Variables; and Related Products";3823;31/12/2023;53,74128867;;;;;;;;;;;;
AMETEK, Inc.;AME;NULL;NULL;NULL;31/12/2022;59,07976203;;;;;;;;;;;;
AMETEK, Inc.;AME;NULL;NULL;NULL;31/12/2021;60,15366789;;;;;;;;;;;;
AMETEK, Inc.;AME;NULL;NULL;NULL;31/12/2020;56,39305842;;;;;;;;;;;;
AMETEK, Inc.;AME;NULL;NULL;NULL;31/12/2019;46,08433314;;;;;;;;;;;;
AMETEK, Inc.;AME;NULL;NULL;NULL;31/12/2018;41,95665351;;;;;;;;;;;;
Amgen Inc.;AMGN.O;US0311621009;Biological Products, Except Diagnostic Substances;2836;31/12/2023;80,47465375;;;;;;;;;;;;
Amgen Inc.;AMGN.O;NULL;NULL;NULL;31/12/2022;77,09637561;;;;;;;;;;;;
Amgen Inc.;AMGN.O;NULL;NULL;NULL;31/12/2021;80,24830187;;;;;;;;;;;;
Amgen Inc.;AMGN.O;NULL;NULL;NULL;31/12/2020;76,36472186;;;;;;;;;;;;
Amgen Inc.;AMGN.O;NULL;NULL;NULL;31/12/2019;73,76771604;;;;;;;;;;;;
Amgen Inc.;AMGN.O;NULL;NULL;NULL;31/12/2018;72,42018703;;;;;;;;;;;;
Amphenol Corporation;APH;US0320951017;Electronic Connectors;3678;31/12/2023;75,47835004;;;;;;;;;;;;
Amphenol Corporation;APH;NULL;NULL;NULL;31/12/2022;73,46022538;;;;;;;;;;;;
Amphenol Corporation;APH;NULL;NULL;NULL;31/12/2021;70,99089188;;;;;;;;;;;;
Amphenol Corporation;APH;NULL;NULL;NULL;31/12/2020;69,47581009;;;;;;;;;;;;
Amphenol Corporation;APH;NULL;NULL;NULL;31/12/2019;64,06174495;;;;;;;;;;;;
Amphenol Corporation;APH;NULL;NULL;NULL;31/12/2018;64,86851889;;;;;;;;;;;;
Analog Devices, Inc.;ADI.O;US0326541051;Semiconductors and Related Devices;3674;31/12/2023;70,13101812;;;;;;;;;;;;
Analog Devices, Inc.;ADI.O;NULL;NULL;NULL;31/12/2022;68,90625615;;;;;;;;;;;;
